"airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","tz_dataset_timezone","type","source"
2395,Futenma Marine Corps Air Station,Futema,Japan,\N,ROTM,26.27429962158203,127.75599670410156,247,9,U,Asia/Tokyo,station,OurAirports
3060,Panagarh Air Force Station,Panagarh,India,\N,VEPH,23.474300384499998,87.4274978638,240,5.5,N,Asia/Calcutta,station,OurAirports
3083,Bakshi Ka Talab Air Force Station,Bakshi Ka Talab,India,\N,VIBL,26.988300323486328,80.89309692382812,385,5.5,N,Asia/Calcutta,station,OurAirports
3086,Bhatinda Air Force Station,Bhatinda,India,\N,VIBT,30.270099639892578,74.75579833984375,662,5.5,N,Asia/Calcutta,station,OurAirports
3088,Bareilly Air Force Station,Bareilly,India,\N,VIBY,28.4221000671,79.45079803470001,580,5.5,N,Asia/Calcutta,station,OurAirports
3090,Chakeri Air Force Station,Kanpur,India,\N,VICX,26.404300689697266,80.41010284423828,405,5.5,N,Asia/Calcutta,station,OurAirports
3106,Pathankot Air Force Station,Pathankot,India,IXP,VIPK,32.23379898071289,75.63459777832031,1017,5.5,N,Asia/Calcutta,station,OurAirports
3111,Sarsawa Air Force Station,Saharanpur,India,\N,VISP,29.993900299072266,77.42530059814453,891,5.5,N,Asia/Calcutta,station,OurAirports
3133,Bidar Air Force Station,Bidar,India,\N,VOBR,17.908100128173828,77.48709869384766,2178,5.5,N,Asia/Calcutta,station,OurAirports
3139,Car Nicobar Air Force Station,Carnicobar,India,\N,VOCX,9.152509689331055,92.8196029663086,5,5.5,N,Asia/Calcutta,station,OurAirports
3154,'Tambaram Air Force Station',Tambaram,India,\N,VOTX,12.90719985961914,80.12190246582031,90,5.5,N,Asia/Calcutta,station,OurAirports
3412,Wainwright Air Station,Fort Wainwright,United States,K03,PAWT,70.61340332,-159.8600006,35,-9,A,America/Anchorage,station,OurAirports
3526,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,United States,ECG,KECG,36.26060104,-76.17459869,12,-5,A,America/New_York,station,OurAirports
3540,Kingsville Naval Air Station,Kingsville,United States,NQI,KNQI,27.5072002411,-97.8097000122,50,-6,A,America/Chicago,station,OurAirports
3703,Jacksonville Naval Air Station,Jacksonville,United States,NIP,KNIP,30.23579979,-81.68060303,21,-5,A,America/New_York,station,OurAirports
3725,Cape Cod Coast Guard Air Station,Falmouth,United States,FMH,KFMH,41.6584014893,-70.5214004517,131,-5,A,America/New_York,station,OurAirports
3741,Fallon Naval Air Station,Fallon,United States,NFL,KNFL,39.41659927,-118.7009964,3934,-8,A,America/Los_Angeles,station,OurAirports
3813,Eareckson Air Station,Shemya,United States,SYA,PASY,52.71229935,174.1139984,95,-10,A,America/Adak,station,OurAirports
3847,Meridian Naval Air Station,Meridian,United States,NMM,KNMM,32.55210114,-88.55560303,316,-6,A,America/Chicago,station,OurAirports
4035,Cologne Railway,Cologne,Germany,QKL,\N,50.9425,6.958056,100,1,E,Europe/Berlin,station,User
4036,Stuttgart Railway Station,Stuttgart,Germany,ZWS,\N,48.783611,9.181667,200,1,E,Europe/Berlin,station,User
4298,El Toro Marine Corps Air Station,Santa Ana,United States,NZJ,KNZJ,33.67610168457031,-117.73100280761719,383,-8,A,America/Los_Angeles,station,OurAirports
5854,Salina Cruz Naval Air Station,Salina Cruz,Mexico,SCX,MM57,16.2126,-95.2016,75,-6,S,America/Mexico_City,station,User
6439,New Rochelle Amtrak Station,New Rochelle,United States,\N,\N,40.913923,-73.782008,66,-5,A,America/New_York,station,User
6441,New Haven Rail Station,New Haven,United States,ZVE,\N,41.298669,-72.925992,7,-5,A,America/New_York,station,User
6442,Chicago Union Station,Chicago,United States,\N,\N,41.8791966,-87.6388507,581,-6,A,America/Chicago,station,User
6451,Glenview Amtrak Station,Glenview,United States,\N,\N,42.074197,-87.805346,630,-6,A,America/Chicago,station,User
6452,Baltimore Penn Station,Baltimore,United States,\N,\N,39.307408,-76.615552,62,-5,A,America/New_York,station,User
6508,Washington Union Station,Washington,United States,ZWU,\N,38.89746,-77.00643,76,-5,A,America/New_York,station,User
6736,Port Clarence Coast Guard Station,Port Clarence,United States,KPC,PAPC,65.2537002563,-166.85899353,10,-9,A,America/Anchorage,station,OurAirports
6842,East Glacier Park Amtrak Station,East Glacier,United States,\N,\N,48.443965,-113.218556,5171,-7,A,America/Denver,station,User
6865,Lyon Part-Dieu Railway,Lyon,France,XYD,\N,45.760556,4.859444,578,1,E,Europe/Paris,station,User
6888,Dusseldorf Hauptbahnhof,Dusseldorf,Germany,QDU,\N,51.220278,6.792778,125,1,E,Europe/Berlin,station,User
6965,Penn Station,Baltimore,United States,ZBP,\N,39.307222,-76.615556,66,-5,A,America/New_York,station,User
6966,Penn Station,New York,United States,ZYP,\N,40.7505,-73.9935,35,-5,A,America/New_York,station,User
7006,Philadelphia 30th St Station,Philadelphia,United States,ZFV,\N,39.9557,-75.182,0,-5,A,America/New_York,station,User
7039,Oak Lawn Train Station,Oak Lawn,United States,\N,\N,41.7198242969588,-87.7488327026367,500,-6,U,America/Chicago,station,User
7043,Hartford Union Station,Hartford,United States,ZRT,\N,41.76888,-72.6815,0,-5,A,America/New_York,station,User
7044,Stamford Amtrak Station,Stamford,United States,ZTF,\N,41.046937,-73.541493,0,-5,A,America/New_York,station,User
7045,Newark Penn Station,Newark,United States,ZRP,\N,40.734722,-74.164167,0,-5,A,America/New_York,station,User
